indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
global mammal and bird species remaining,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
globally available combined bathy/topo,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
globally available continental shelf,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
globally available data for waves and wind,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Knowledge systems,Abiotic conditions,NA,1,ga
high body mass index,NA,NA,NA,NA,NA,NA,NA,NA,NA,biodiversity,NA,State of biodiversity,NA,1,geo
human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion,2,ga
human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion,2,va
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
index of coastal eutrophication potential (icep),1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,geo
index of coastal eutrophication potential (icep) and (b) plastic debris density,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,sua
infiltrability,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (integrity),NA,1,ga
land area in biomass production,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
land not cultivated or urban,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),1,ga
land not cultivated or urban (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area),1,ga
