indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,source
number of invasive alien species in national lists as per the global register of introduced and invasive species,1,0,GBF,NA,1,1,0,1,NA,NA,Invasive alien species,NA,Invasive alien species,NA,GBF
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,Direct drivers,State of biodiversity,Invasive alien species,GBF
red list index (impacts of invasive alien species),1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,Direct drivers,State of biodiversity,Invasive alien species,GBF
above-ground biomass stock in forest,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA,GBF
spawning stock biomass (related to commercially exploited species),1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,GBF
agrobiodiversity index,1,0,GBF,NA,1,1,0,1,1,NA,Ecosystem services,biodiversity,Nature contribution,State of biodiversity,GBF
soil organic carbon (soc) stocks,1,1,"GEO,GBF,UNCCD",NA,3,2,1,1,1,NA,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution,GBF
human appropriation of net primary productivity,1,1,"GA,VA,GBF",1,3,1,2,1,1,NA,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion,GBF
proportion of known species assessed through the red list index,1,1,"GA,GBF",1,2,1,1,1,1,NA,biodiversity,NA,Species conservation,NA,GBF
number of assessments on the red list index,1,0,GBF,NA,1,1,0,1,1,NA,biodiversity,NA,Species conservation,NA,GBF
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,Knowledge systems,State of ecosystems,ILK,GBF
number of plant genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,0,SDG,NA,1,1,0,1,NA,NA,biodiversity,NA,Genetic resources,NA,SDG
number of animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,1,0,SDG,NA,1,1,0,1,NA,NA,biodiversity,NA,Genetic resources,NA,SDG
ratio of land consumption rate to population growth rate,1,1,"SUA,GEO,SDG",1,3,1,2,1,1,NA,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs,SDG
average marine acidity (ph) measured at agreed suite of representative sampling stations,1,1,"SUA,SDG",1,2,1,1,1,NA,NA,ecosystems,Direct drivers,State of ecosystems (marine),Climate change,SDG
coverage of protected areas in relation to marine areas,1,1,"SUA,GEO,SDG",1,3,1,2,1,1,NA,ecosystems,NA,Area conservation,NA,SDG
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",1,1,"SUA,SDG",1,2,1,1,1,NA,NA,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation,SDG
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",1,1,"SUA,SDG",1,2,1,1,1,NA,NA,ecosystems,NA,Area conservation,NA,SDG
coverage by protected areas of important sites for mountain biodiversity,1,1,"GA,SUA,SDG",1,3,1,2,1,1,NA,ecosystems,NA,Area conservation,NA,SDG
worldwide weighted tariff-average,1,1,"SUA,SDG",1,2,1,1,1,NA,NA,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA,SDG
the conservation status of species listed on the cites appendices has stabilized or improved,1,0,CITES,NA,1,1,0,1,NA,NA,biodiversity,NA,Change in biodiversity,NA,CITES
wild commodities index (migratory species),1,0,CMS,NA,1,1,0,1,1,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
proportion of migratory fish stocks in safe biological limits,1,0,CMS,NA,1,1,0,1,NA,NA,Ecosystem services,biodiversity,Specific mention of sustainable use of species/ecosystems,State of biodiversity,CMS
trends in threats to migratory species,1,0,CMS,NA,1,1,0,1,NA,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
red list index (migratory species),1,0,CMS,NA,1,1,0,1,1,NA,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,CMS
