indicators_harmonized,ga_extracted,sua_extracted,va_extracted,ipcc_extracted,geo_extracted,variable,index,ILK_indicators
density of preferred and palatable species,1,NA,NA,NA,NA,1,NA,ILK
health of the forest,1,NA,NA,NA,NA,NA,1,ILK
encounter rates with supernatural forest dwelling entities,1,NA,NA,NA,NA,NA,1,ILK
water availability,1,NA,NA,NA,NA,NA,1,NA
water available for people relative to demand,1,NA,NA,NA,NA,NA,1,NA
extent of ecosystems that filter or add constituent components to water,1,NA,NA,NA,NA,NA,1,NA
reduced concentration of pollutants in water,1,NA,NA,NA,NA,NA,1,NA
avoided water treatment costs,1,NA,NA,NA,NA,NA,1,NA
reduced incidence of water borne disease,1,NA,NA,NA,NA,NA,1,NA
abundance of managed and wild pollinators,1,NA,NA,NA,NA,NA,1,NA
health associated with intake of pollinator dependent foods,1,NA,NA,NA,NA,NA,1,NA
natural habitat in agriculture pollen deposition,1,NA,NA,NA,NA,NA,1,NA
retention and prevented emissions of air pollutants by ecosystems,1,NA,NA,NA,NA,NA,1,NA
reduced concentrations of pm2.5,1,NA,NA,NA,NA,NA,1,NA
avoided morbidity and premature mortality from air pollution,1,NA,NA,NA,NA,NA,1,NA
avoided costs from air pollution,1,NA,NA,NA,NA,NA,1,NA
prevented emissions and uptake of greenhouse gases by ecosystems,1,NA,NA,NA,NA,NA,1,NA
reduced concentrations of greenhouse gases in the atmosphere,1,NA,NA,NA,NA,NA,1,NA
reduction in climate related costs,1,NA,NA,NA,NA,NA,1,NA
land and ocean carbon sinks,1,NA,NA,NA,NA,NA,1,NA
reduced ocean acidification,1,NA,NA,NA,NA,NA,1,NA
seafood availability due to ocean acidification,1,NA,NA,NA,NA,NA,1,NA
extent of marine calcification benefits from coral reefs,1,NA,NA,NA,NA,NA,1,NA
soil quality impact on crop production,1,NA,NA,NA,NA,NA,1,NA
ability of ecosystems to absorb and buffer hazards,1,NA,NA,NA,NA,NA,1,NA
reduced incidence and severity of hazards,1,NA,NA,NA,NA,NA,1,NA
reduced morbidity and premature mortality due to natural hazards,1,NA,NA,NA,NA,NA,1,NA
reduced property loss due to natural hazards,1,NA,NA,NA,NA,NA,1,NA
natural habitat in agriculture,1,NA,NA,NA,NA,NA,1,NA
reduced food spoilage,1,NA,NA,NA,NA,NA,1,NA
reduced net farm income loss from pests and diseases,1,NA,NA,NA,NA,NA,1,NA
diversity of competent hosts of vector-borne diseases,1,NA,NA,NA,NA,NA,1,NA
reduced risk of disease transmission,1,NA,NA,NA,NA,NA,1,NA
reduced incidence of infectious diseases,1,NA,NA,NA,NA,NA,1,NA
extent of agricultural land,1,NA,NA,NA,NA,NA,1,NA
energy content of bioenergy crops,1,NA,NA,NA,NA,NA,1,NA
revenue from bioenergy production,1,NA,NA,NA,NA,NA,1,NA
production of fuelwood,1,NA,NA,NA,NA,NA,1,NA
energy security from bio-energy and fuelwood,1,NA,NA,NA,NA,NA,1,NA
food produced (kcal),1,NA,NA,NA,NA,NA,1,NA
food quality (nutrients),1,NA,NA,NA,NA,NA,1,NA
reduced malnutrition,1,NA,NA,NA,NA,NA,1,NA
marine stocks,1,NA,NA,NA,NA,NA,1,NA
reduced hunger,1,NA,NA,NA,NA,NA,1,NA
seafood produced (kcal),1,NA,NA,NA,NA,NA,1,NA
agriculture-based materials produced (tons),1,NA,NA,NA,NA,NA,1,NA
employment in materials production,1,NA,NA,NA,NA,NA,1,NA
timber production (m3),1,NA,NA,NA,NA,NA,1,NA
revenue from forestry,1,NA,NA,NA,NA,NA,1,NA
fraction of species known to be medicinal,1,NA,NA,NA,NA,NA,1,NA
natural medicinal products and manufactured bio-derived medicines,1,NA,NA,NA,NA,NA,1,NA
improved health from natural medicines or bio-derived medicines,1,NA,NA,NA,NA,NA,1,NA
phylogenetic diversity,1,NA,NA,NA,NA,NA,1,NA
gene bank accession and available genetic resources,1,NA,NA,NA,NA,NA,1,NA
proximity of people and nature,1,NA,NA,NA,NA,NA,1,NA
ideas and products mimicking or inspired by nature,1,NA,NA,NA,NA,NA,1,NA
economic value of bio-inspired production,1,NA,NA,NA,NA,NA,1,NA
diversity of life from which to learn,1,NA,NA,NA,NA,NA,1,NA
area of natural and traditional landscapes and seascapes,1,NA,NA,NA,NA,NA,1,NA
"visitation rates to natural terrestrial, coastal, and marine areas",1,NA,NA,NA,NA,NA,1,NA
"increased awareness, care, mental health, cultural security, life satisfaction - urban",1,NA,NA,NA,NA,NA,1,NA
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",1,NA,NA,NA,NA,NA,1,NA
"daily exposure natural terrestrial, coastal and marine areas",1,NA,NA,NA,NA,NA,1,NA
stability of land use and land cover,1,NA,NA,NA,NA,NA,1,NA
identity value - urban,1,NA,NA,NA,NA,NA,1,NA
identity value - rural and iplc,1,NA,NA,NA,NA,NA,1,NA
visitation to natural areas,1,NA,NA,NA,NA,NA,1,NA
percentage of population living in dense urban areas,1,NA,NA,NA,NA,NA,1,NA
historic land use change since 1970,1,NA,NA,NA,NA,NA,1,NA
leaf surface area,1,NA,NA,NA,NA,1,NA,NA
net carbon sequestration,1,NA,NA,NA,NA,1,NA,NA
transfer of water to the atmosphere,1,NA,NA,NA,NA,1,NA,NA
biotic productivity,1,NA,NA,NA,NA,1,NA,NA
extent of protected and intact habitat globally,1,NA,NA,NA,NA,NA,1,NA
correlation between high cultural diversity and areas of high biodiversity,1,NA,NA,NA,NA,1,NA,NA
population extinctions,1,NA,NA,NA,NA,1,NA,NA
range contractions,1,NA,NA,NA,NA,1,NA,NA
biomass abundance,1,NA,NA,NA,NA,NA,1,NA
production,1,NA,NA,NA,NA,NA,1,NA
species distribution area and shift,1,NA,NA,NA,NA,NA,1,NA
species richness,1,NA,NA,NA,NA,NA,1,NA
habitat area and quality,1,NA,NA,NA,NA,NA,1,NA
organisms` size or growth,1,NA,NA,NA,NA,NA,1,NA
reproduction rate,1,NA,NA,NA,NA,NA,1,NA
"pest, invasive or harmful species",1,NA,NA,NA,NA,NA,1,NA
c pool,1,NA,NA,NA,NA,NA,1,NA
global sclae ecosystem carbon storage,1,NA,NA,NA,NA,NA,1,NA
adaptive capacity index (aci),1,NA,NA,NA,NA,NA,1,NA
oecd better life index,1,NA,NA,NA,NA,NA,1,NA
sustainable development goals (sdg) index,1,NA,NA,NA,NA,NA,1,NA
marine stewardship council certified fisheries,1,NA,NA,NA,NA,NA,1,NA
cumulative human impacts on marine ecosystems,1,NA,NA,NA,NA,NA,1,NA
average conservation status,1,NA,NA,NA,NA,NA,1,NA
extent of suitable habitat index (esh),1,NA,NA,NA,NA,NA,1,NA
species area relationship,1,NA,NA,NA,NA,NA,1,NA
happy planet index,1,NA,NA,NA,NA,NA,1,NA
gini index,1,NA,NA,NA,NA,NA,1,NA
rule of law index,1,NA,NA,NA,NA,NA,1,NA
water quality risk index,1,NA,NA,NA,NA,NA,1,NA
mibid index,1,NA,NA,NA,NA,NA,1,NA
commodity index,1,NA,NA,NA,NA,NA,1,NA
index of sustainable economic welfare (isew),1,NA,1,NA,NA,NA,1,NA
genuine progress indicator (gpi),1,NA,1,NA,NA,NA,1,NA
biodiversity barometer (% of respondents that have heard of biodiversity),1,NA,NA,NA,NA,NA,1,NA
biodiversity barometer (% of respondents giving correct definition of biodiversity),1,NA,NA,NA,NA,NA,1,NA
funding for environmental education,1,NA,NA,NA,NA,NA,1,NA
online interest in biodiversity (proportion of google searches),1,NA,NA,NA,NA,NA,1,NA
funding for environmental impact assessments,1,NA,NA,NA,NA,NA,1,NA
number of research studies involving economic valuation,1,NA,NA,NA,NA,NA,1,NA
world trade organisation greenbox agricultural subsidies,1,NA,NA,1,1,NA,1,NA
funding towards institutional capacity building in fisheries,1,NA,NA,NA,NA,NA,1,NA
human appropriation of fresh water,1,NA,NA,NA,NA,NA,1,NA
wild bird index (habitat specialists),1,NA,NA,NA,NA,NA,1,NA
red list index (forest specialists),1,NA,NA,NA,NA,NA,1,NA
global effort in bottom-trawling,1,NA,NA,NA,NA,NA,1,NA
red list index (impacts of fisheries),1,NA,NA,NA,NA,NA,1,NA
wild bird index (farmland birds),1,NA,NA,NA,NA,NA,1,NA
area of agricultural land under organic production,1,NA,NA,NA,NA,NA,1,NA
online interest inbiodiversity (proportion of google searches),1,NA,NA,NA,NA,NA,1,NA
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),1,NA,NA,NA,NA,1,NA,NA
growth in human appropriation of net primary production,1,NA,NA,NA,NA,NA,1,NA
demand for greener products and services,1,NA,NA,NA,NA,NA,1,NA
green consumption,1,NA,NA,NA,NA,NA,1,NA
annual rate of net forest loss,1,NA,NA,NA,NA,NA,1,NA
climatic impact index,1,NA,NA,NA,NA,NA,1,NA
proportion of sites in the world database on protected areas reporting shared governance,1,NA,NA,NA,NA,NA,1,NA
number of extintions,1,NA,NA,NA,NA,1,NA,NA
proportion of domesticated breeds categorized as at risk or extinct,1,NA,NA,NA,NA,1,NA,NA
extinction risk of wild relatives of domesticated or farmed birds and mammals,1,NA,NA,NA,NA,1,NA,NA
red list index (vertebrate pollinators),1,NA,NA,NA,NA,NA,1,NA
number of countries implementing nbsaps,1,NA,NA,NA,NA,NA,1,NA
numbers of scientific publications on biodiversity,1,NA,NA,NA,NA,NA,1,NA
relevant research funding,1,NA,NA,NA,NA,NA,1,NA
taxa assessed for the iucn red list of threatened species,1,NA,NA,NA,NA,NA,1,NA
species with data included in the global biodiversity information facility,1,NA,NA,NA,NA,NA,1,NA
mean polar sea ice extent,1,NA,NA,NA,NA,NA,1,NA
official development assistance provided in support of the cbd objectives,1,NA,NA,NA,NA,NA,1,NA
pesticide use,1,NA,NA,NA,NA,NA,1,NA
glacial mass balance,1,NA,NA,NA,NA,NA,1,NA
red list index (birds and mammals),1,NA,NA,NA,NA,NA,1,NA
red list index (impacts of pollution),1,NA,NA,NA,NA,NA,1,NA
percentage of freshwater key biodiversity areas covered by protected areas,1,NA,NA,NA,NA,NA,1,NA
marine stewardship council engaged fisheries,1,NA,NA,NA,NA,NA,1,NA
percentage of marine and coastal areas covered by protected areas,1,NA,NA,NA,NA,NA,1,NA
percentage of marine key biodiversity areas covered by protected areas,1,NA,NA,NA,NA,NA,1,NA
percentage of terrestrial ecoregions covered by protected areas,1,NA,NA,NA,NA,NA,1,NA
number of protected area management effectiveness (pame) assessments,1,NA,1,NA,NA,NA,1,NA
area of forest under sustainable management: total forest management certification by forest stewardship council and programme for the endorsement of forest certification,1,NA,NA,NA,NA,NA,1,NA
coverage by protected areas of important sites for mountain biodiversity,1,NA,NA,NA,NA,NA,1,NA
climatic impact index for birds,1,NA,NA,NA,NA,NA,1,NA
number of invasive alien species introduction events,1,NA,NA,NA,NA,NA,1,NA
percentage of countries with invasive alien species legislation,1,NA,NA,NA,NA,NA,1,NA
red list index (impacts of invasive alien species),1,NA,NA,NA,NA,NA,1,NA
biochemical oxygen demand (bod),1,NA,NA,NA,NA,NA,1,NA
nitrogen (n) loads,1,NA,NA,NA,NA,NA,1,NA
phosphorus (p) loads,1,NA,NA,NA,NA,NA,1,NA
total dissolved solids (tds),1,NA,NA,NA,NA,NA,1,NA
blue water sustainability index,1,NA,NA,NA,NA,NA,1,NA
multidimensional poverty index,1,1,NA,NA,NA,NA,1,NA
individual deprivation measure,1,NA,NA,NA,NA,NA,1,NA
city biodiversity index,1,NA,NA,NA,1,NA,1,NA
