indic_id,indicators,indicators_harmonized
GA_2.3_sm_64,Water available for people relative to demand,water available for people relative to demand
GA_2.3_sm_65,extent of irrigated area,extent of irrigated area
GA_2.3_sm_66,water shortage,water shortage
GA_2.3_sm_67,desertification,desertification
GA_2.3_sm_68,how much kw hrs that are dependent on water Ag (irrigated area),how much kw hrs that are dependent on water ag (irrigated area)
GA_2.3_sm_69,Suspended organic carbon,suspended organic carbon
GA_2.3_sm_70,existence of non-crop or urban in a place dominated by either,existence of non-crop or urban in a place dominated by either
GA_2.3_sm_71,Capacity of ecosystem to filter (or add) constituent components (extent of vegetation),capacity of ecosystem to filter (or add) constituent components (extent of vegetation)
GA_2.3_sm_72,Concentration of constituents (pollutants) in the water,concentration of constituents (pollutants) in the water
GA_2.3_sm_73,Reduced incidence of water borne disease,reduced incidence of water borne disease
GA_2.3_sm_74,Avoided water treatment costs,avoided water treatment costs
GA_2.3_sm_75,Rain-use efficiency adjusted NDVI,rain-use efficiency adjusted ndvi
GA_2.3_sm_76,Crop yield,crop yield
GA_2.3_sm_77,Soil depth,soil depth
GA_2.3_sm_78,Food security,food security
GA_2.3_sm_79,Soil biodiversity,soil biodiversity
GA_2.3_sm_80,Soil Quality,soil quality
GA_2.3_sm_81,Soil degradation impact on crop productivity,soil degradation impact on crop productivity
GA_2.3_sm_82,Coral reefs distribution and extent,coral reefs distribution and extent
GA_2.3_sm_83,Mangrove distribution and abundance,mangrove distribution and abundance
GA_2.3_sm_84,Saltmarsh distribution and abundance,saltmarsh distribution and abundance
GA_2.3_sm_85,Coastal forest distribution and extent,coastal forest distribution and extent
GA_2.3_sm_86,Globally available combined Bathy/Topo,globally available combined bathy/topo
GA_2.3_sm_87,Globally available data for waves and wind,globally available data for waves and wind
GA_2.3_sm_88,Globally available continental shelf,globally available continental shelf
GA_2.3_sm_89,Thousands of deaths each year,thousands of deaths each year
GA_2.3_sm_90,Billions of dollars each year,billions of dollars each year
GA_2.3_sm_91,Fraction of people die due to flood,fraction of people die due to flood
GA_2.3_sm_92,Fraction of people infected with disease of flood,fraction of people infected with disease of flood
GA_2.3_sm_93,post-traumatic stress disorder score,post-traumatic stress disorder score
GA_2.3_sm_94,cumulative exposure indicators,cumulative exposure indicators
GA_2.3_sm_95,Psychological health indicators,psychological health indicators
GA_2.3_sm_96,direct tangible damage loss,direct tangible damage loss
GA_2.3_sm_97,Landscape inundated by the flood,landscape inundated by the flood
GA_2.3_sm_98,"Absolute damage to roads and transportation, power plant,etc","absolute damage to roads and transportation, power plant,etc"
GA_2.3_sm_99,Lowered incidence and impact of hazards,lowered incidence and impact of hazards
GA_2.3_sm_100,lowered flood peaks,lowered flood peaks
GA_2.3_sm_101,lowered fuel load (fires),lowered fuel load (fires)
GA_2.3_sm_102,Coastal protection,coastal protection
GA_2.3_sm_103,Landslides stabilization,landslides stabilization
GA_2.3_sm_104,Incidence of hazards,incidence of hazards
GA_2.3_sm_105,Reduced morbidity and premature mortality,reduced morbidity and premature mortality
GA_2.3_sm_106,Reduced property loss,reduced property loss
GA_2.3_sm_107,Near- or on-farm habitat diversity,near- or on-farm habitat diversity
GA_2.3_sm_108,Landscape complexity,landscape complexity
GA_2.3_sm_109,Abundance of alternative hosts species,abundance of alternative hosts species
GA_2.3_sm_110,Species richness,species richness
GA_2.3_sm_111,Avoided costs of pesticide use,avoided costs of pesticide use
GA_2.3_sm_112,Avoided costs of health treatment of VBD,avoided costs of health treatment of vbd
GA_2.3_sm_113,Reduced pesticide use,reduced pesticide use
GA_2.3_sm_114,Reduced prevalence of VBD,reduced prevalence of vbd
GA_2.3_sm_115,Diversity of biological controllers of pests,diversity of biological controllers of pests
GA_2.3_sm_116,Diversity of competent hosts of vector-borne and zoonotic diseases,diversity of competent hosts of vector-borne and zoonotic diseases
GA_2.3_sm_117,Abundance of wild and managed biological controllers of pests,abundance of wild and managed biological controllers of pests
GA_2.3_sm_118,Abundance of competent hosts of vector-born and zoonotic diseases,abundance of competent hosts of vector-born and zoonotic diseases
GA_2.3_sm_119,Avoided pest damage to crop and livestock,avoided pest damage to crop and livestock
GA_2.3_sm_121,Reduced incidence rate of vector-borne and zoonotic diseases,reduced incidence rate of vector-borne and zoonotic diseases
GA_2.3_sm_122,"Tonnage of biomass (sugar cane, corn, palm oil)","tonnage of biomass (sugar cane, corn, palm oil)"
GA_2.3_sm_123,land area in biomass production,land area in biomass production
GA_2.3_sm_124,Tonnage of fuelwood,tonnage of fuelwood
GA_2.3_sm_125,biomass estimates in forests,biomass estimates in forests
GA_2.3_sm_126,Numbers of livestock and use rate,numbers of livestock and use rate
GA_2.3_sm_127,"Tonnage of biomass (sugar cane, corn, palm oil), other energy crops","tonnage of biomass (sugar cane, corn, palm oil), other energy crops"
GA_2.3_sm_129,Yield (production) in tonnage,yield (production) in tonnage
GA_2.3_sm_130,Biofuel yield in Joules or Liters,biofuel yield in joules or liters
GA_2.3_sm_131,"Biofuel yield in Joules or Liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process","biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process"
GA_2.3_sm_132,Biofuel yield in Joules or Liters from industrial effluents and/or municipal solid waste,biofuel yield in joules or liters from industrial effluents and/or municipal solid waste
